pointName,deviceType,deviceId,mapping_pointId,mapping_enosPoint,mapping_status,mapping_confidence,mapping_explanation
FCU_01_26.27_1.ModeStatus,FCU,01_26.27_1,10102:4,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_26.27_1.CTL_FanSpeed,FCU,01_26.27_1,10102:5,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_06_1.CTL_FanSpeed,FCU,01_26.27_1,10102:61,unknown,unmapped,0.1,
CH-SYS-1.CHWV.OvrMode,CHWV,1,10102:4,unknown,unmapped,0.1,
CH-SYS-1.CHWV.OpenStatus,CHWV,1,10102:5,unknown,unmapped,0.0,
CH-SYS-1.CHWV.CloseStatus,CHWV,1,10102:28,unknown,unmapped,0.1,
CH-SYS-1.CHWV.ModeStatus,CHWV,1,10102:29,unknown,unmapped,0.1,
CH-SYS-1.CHWV.FailStatus,CHWV,1,10102:30,unknown,unmapped,0.0,
FCU_01_26.27_2.ModeStatus,FCU,01_26.27_2,10102:6,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_26.27_2.CTL_FanSpeed,FCU,01_26.27_2,10102:7,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_06_1.ModeStatus,FCU,01_26.27_2,10102:62,unknown,unmapped,0.1,
FCU_05_08_2.FanSpeedStatus,FCU,01_26.27_2,10102:86,unknown,unmapped,0.0,
FCU_01_26.27_1.TempSetpoint,FCU,01_26.27_2,10102:185,FCU_raw_sp_zone_air_temp,mapped,0.6000000000000001,
DPM_CH_2.kWh,CH,2,10102:6,CH_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CH_2.kW,CH,2,10102:7,CH_raw_power_active_total,mapped,0.6000000000000001,
CH-SYS-2.CH.RunCmd,CH,2,10102:19,unknown,unmapped,0.1,
CH-SYS-2.CH.ModeStatus,CH,2,10102:20,unknown,unmapped,0.1,
CH-SYS-2.CH.RunStatus,CH,2,10102:21,CH_raw_status,mapped,0.4,
CH-SYS-2.CH.TripStatus,CH,2,10102:22,CH_raw_trip,mapped,0.4,
CH-SYS-2.CH.FailStatus,CH,2,10102:23,unknown,unmapped,0.1,
CH-SYS-2.CWV.OvrMode,CH,2,10102:43,unknown,unmapped,0.1,
CH-SYS-2.CWV.OpenCmd,CH,2,10102:44,unknown,unmapped,0.1,
CH-SYS-2.CWV.OpenStatus,CH,2,10102:45,CH_raw_cooling_valve_status,mapped,0.6000000000000001,
CH-SYS-2.CWV.CloseStatus,CH,2,10102:46,unknown,unmapped,0.1,
CH-SYS-1.CHWP.ModeStatus,CHWP,1,10102:6,unknown,unmapped,0.1,
CH-SYS-1.CHWP.RunStatus,CHWP,1,10102:7,PUMP_raw_status,mapped,0.4,
CH-SYS-1.CHWP.TripStatus,CHWP,1,10102:8,PUMP_raw_trip,mapped,0.4,
CH-SYS-1.CHWP.FailStatus,CHWP,1,10102:9,unknown,unmapped,0.1,
DPM_CHWP_1.kWh,CHWP,1,10102:10,PUMP_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CHWP_1.kW,CHWP,1,10102:11,PUMP_raw_power_active_total,mapped,0.6000000000000001,
CH-SYS-1.CHWP.VSD.Hz,CHWP,1,10102:42,PUMP_raw_frequency,mapped,0.4,
CH-SYS-1.CHWP.VSD.kW,CHWP,1,10102:43,unknown,unmapped,0.0,
CH-SYS-1.CHWP.VSD.Volt,CHWP,1,10102:44,unknown,unmapped,0.1,
CH-SYS-1.CHWP.VSD.Amp,CHWP,1,10102:45,unknown,unmapped,0.1,
CHWP_1_VSD_HeatSinkTemp,CHWP,1,10102:374,unknown,unmapped,0.1,
DPM_CH_3.kWh,CH,3,10102:8,CH_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CH_3.kW,CH,3,10102:9,CH_raw_power_active_total,mapped,0.6000000000000001,
FCU_01_26.27_3.ModeStatus,FCU,01_26.27_3,10102:8,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_26.27_3.CTL_FanSpeed,FCU,01_26.27_3,10102:9,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_01_26.27_2.RoomTemp,FCU,01_26.27_3,10102:188,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
FCU_01_28.ModeStatus,FCU,01_28,10102:10,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_28.CTL_FanSpeed,FCU,01_28,10102:11,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_05_11_2.ModeStatus,FCU,01_28,10102:93,unknown,unmapped,0.1,
FCU_05_01_8.CTL_RunStop,FCU,01_28,10102:189,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_05_01_8.TripStatus,FCU,01_28,10102:190,FCU_raw_trip,mapped,0.4,
CH-SYS-1.CWP.ModeStatus,CWP,1,10102:10,unknown,unmapped,0.1,
CH-SYS-1.CWP.RunStatus,CWP,1,10102:11,PUMP_raw_status,mapped,0.4,
CH-SYS-1.CWP.TripStatus,CWP,1,10102:12,PUMP_raw_trip,mapped,0.4,
CH-SYS-1.CWP.FailStatus,CWP,1,10102:13,unknown,unmapped,0.1,
DPM_CWP_1.kWh,CWP,1,10102:16,PUMP_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CWP_1.kW,CWP,1,10102:17,PUMP_raw_power_active_total,mapped,0.6000000000000001,
CH-SYS-1.CWP.VSD.Hz,CWP,1,10102:46,PUMP_raw_frequency,mapped,0.4,
CH-SYS-1.CWP.VSD.kW,CWP,1,10102:47,unknown,unmapped,0.0,
CWP_1_VSD_HeatSinkTemp,CWP,1,10102:361,unknown,unmapped,0.1,
CWP_1_DT_SP,CWP,1,10102:366,PUMP_raw_sp_delta_pressure,mapped,0.7000000000000001,
FCU_01_29.ModeStatus,FCU,01_29,10102:12,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_29.CTL_FanSpeed,FCU,01_29,10102:13,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_05_06_2.FanSpeedStatus,FCU,01_29,10102:64,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_11_2.CTL_FanSpeed,FCU,01_29,10102:94,unknown,unmapped,0.1,
FCU_01_26.27_3.RoomTemp,FCU,01_29,10102:191,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
FCU_01_26.27_3.ValveOutput,FCU,01_29,10102:192,FCU_raw_valve_status,mapped,0.6000000000000001,
DPM_CHWP_2.kWh,CHWP,2,10102:12,PUMP_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CHWP_2.kW,CHWP,2,10102:13,PUMP_raw_power_active_total,mapped,0.6000000000000001,
CH-SYS-2.CHWP.ModeStatus,CHWP,2,10102:24,unknown,unmapped,0.1,
CH-SYS-2.CHWP.RunStatus,CHWP,2,10102:25,PUMP_raw_status,mapped,0.4,
CH-SYS-2.CHWP.TripStatus,CHWP,2,10102:26,PUMP_raw_trip,mapped,0.4,
CH-SYS-2.CHWP.FailStatus,CHWP,2,10102:27,unknown,unmapped,0.1,
CHWP_2_VSD_HeatSinkTemp,CHWP,2,10102:375,unknown,unmapped,0.1,
DPM_CHWP_3.kWh,CHWP,3,10102:14,PUMP_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CHWP_3.kW,CHWP,3,10102:15,PUMP_raw_power_active_total,mapped,0.6000000000000001,
CHWP_3_VSD_HeatSinkTemp,CHWP,3,10102:376,unknown,unmapped,0.1,
CH-SYS-1.ATCS.RunStatus,CH-SYS,,10102:14,CH_raw_status,mapped,0.4,
CH-SYS-1.ATCS.TripStatus,CH-SYS,,10102:15,CH_raw_trip,mapped,0.4,
CH-SYS-1.ATCS.ModeStatus,CH-SYS,,10102:16,unknown,unmapped,0.1,
CH-SYS-1.ATCS.FailStatus,CH-SYS,,10102:17,unknown,unmapped,0.1,
CH-SYS-1.ATCS.Enabled,CH-SYS,,10102:18,unknown,unmapped,0.1,
FCU_01_30.31_1.ModeStatus,FCU,01_30.31_1,10102:14,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_30.31_1.CTL_FanSpeed,FCU,01_30.31_1,10102:15,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_13_1.ModeStatus,FCU,01_30.31_1,10102:95,unknown,unmapped,0.1,
FCU_01_26.27_3.TempSetpoint,FCU,01_30.31_1,10102:193,FCU_raw_sp_zone_air_temp,mapped,0.6000000000000001,
FCU_05_01_9.TripStatus,FCU,01_30.31_1,10102:194,FCU_raw_trip,mapped,0.4,
FCU_01_30.31_2.ModeStatus,FCU,01_30.31_2,10102:16,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_30.31_2.CTL_FanSpeed,FCU,01_30.31_2,10102:17,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_05_01_9.RunStatus,FCU,01_30.31_2,10102:195,FCU_raw_status,mapped,0.4,
FCU_05_04.05_1.ControllerStatus,FCU,01_30.31_2,10102:196,unknown,unmapped,0.1,
DPM_CWP_2.kWh,CWP,2,10102:18,PUMP_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CWP_2.kW,CWP,2,10102:19,PUMP_raw_power_active_total,mapped,0.6000000000000001,
CWP_2_VSD-HeatSinkTemp,CWP,2,10102:362,unknown,unmapped,0.1,
CWP_2_DT_SP,CWP,2,10102:365,PUMP_raw_sp_delta_pressure,mapped,0.7000000000000001,
FCU_01_30.31_3.ModeStatus,FCU,01_30.31_3,10102:18,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_30.31_3.CTL_FanSpeed,FCU,01_30.31_3,10102:19,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_05_CMO_1.FanSpeedStatus,FCU,01_30.31_3,10102:100,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_04.05_1.CTL_RunStop,FCU,01_30.31_3,10102:197,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_01_29.ValveOutput,FCU,01_30.31_3,10102:198,FCU_raw_valve_status,mapped,0.6000000000000001,
DPM_CWP_3.kWh,CWP,3,10102:20,PUMP_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CWP_3.kW,CWP,3,10102:21,PUMP_raw_power_active_total,mapped,0.6000000000000001,
CWP_3_VSD_HeatSinkTemp,CWP,3,10102:363,unknown,unmapped,0.1,
CWP_3_DT_SP,CWP,3,10102:364,PUMP_raw_sp_delta_pressure,mapped,0.7000000000000001,
FCU_01_32.ModeStatus,FCU,01_32,10102:20,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_32.CTL_FanSpeed,FCU,01_32,10102:21,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_05_06_3.FanSpeedStatus,FCU,01_32,10102:67,unknown,unmapped,0.1,
FCU_05_CMO_2.FanSpeedStatus,FCU,01_32,10102:103,unknown,unmapped,0.1,
FCU_01_29.TempSetpoint,FCU,01_32,10102:199,FCU_raw_sp_zone_air_temp,mapped,0.6000000000000001,
FCU_05_04.05_1.RunStatus,FCU,01_32,10102:200,FCU_raw_status,mapped,0.4,
FCU_01_33.34_1.ModeStatus,FCU,01_33.34_1,10102:22,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_33.34_1.CTL_FanSpeed,FCU,01_33.34_1,10102:23,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_01_30.31_1.ValveOutput,FCU,01_33.34_1,10102:201,FCU_raw_valve_status,mapped,0.6000000000000001,
FCU_01_30.31_1.TempSetpoint,FCU,01_33.34_1,10102:202,FCU_raw_sp_zone_air_temp,mapped,0.6000000000000001,
DPM_CT_1.kWh,CT,1,10102:22,CT_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CT_1.kW,CT,1,10102:23,CT_raw_power_active_total,mapped,0.6000000000000001,
CT_1_VSD_HeatSinkTemp,CT,1,10102:368,unknown,unmapped,0.1,
DPM_CT_2.kWh,CT,2,10102:24,CT_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CT_2.kW,CT,2,10102:25,CT_raw_power_active_total,mapped,0.6000000000000001,
CT_2_VSD_HeatSinkTemp,CT,2,10102:369,unknown,unmapped,0.1,
FCU_01_33.34_2.FanSpeedStatus,FCU,01_33.34_2,10102:25,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_04.05_2.TripStatus,FCU,01_33.34_2,10102:203,FCU_raw_trip,mapped,0.4,
DPM_CT_3.kWh,CT,3,10102:26,CT_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CT_3.kW,CT,3,10102:27,CT_raw_power_active_total,mapped,0.6000000000000001,
CT_3_VSD_HeatSinkTemp,CT,3,10102:370,unknown,unmapped,0.1,
DPM_CT_4.kWh,CT,4,10102:28,CT_raw_energy_active_total,mapped,0.6000000000000001,
DPM_CT_4.kW,CT,4,10102:29,CT_raw_power_active_total,mapped,0.6000000000000001,
CT_4_VSD_HeatSinkTemp,CT,4,10102:371,unknown,unmapped,0.1,
FCU_01_35_1.FanSpeedStatus,FCU,01_35_1,10102:28,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_06_4.FanSpeedStatus,FCU,01_35_1,10102:70,unknown,unmapped,0.0,
FCU_05_04.05_2.CVControlMode,FCU,01_35_1,10102:204,unknown,unmapped,0.1,
DPM_MKWP.kWh,DPM,,10102:30,unknown,unmapped,0.1,
FCU_01_35_2.FanSpeedStatus,FCU,01_35_2,10102:31,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_07_1.ModeStatus,FCU,01_35_2,10102:72,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_05_07_1.CTL_FanSpeed,FCU,01_35_2,10102:73,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_01_30.31_2.TempSetpoint,FCU,01_35_2,10102:205,FCU_raw_sp_zone_air_temp,mapped,0.6000000000000001,
FCU_05_01_1.FanSpeedStatus,FCU,05_01_1,10102:34,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_07_2.ModeStatus,FCU,05_01_1,10102:74,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_25.TripStatus,FCU,05_01_1,10102:125,FCU_raw_trip,mapped,0.4,
CH-SYS-2.CHWV.OvrMode,CHWV,2,10102:37,unknown,unmapped,0.1,
CH-SYS-2.CHWV.OpenCmd,CHWV,2,10102:38,unknown,unmapped,0.1,
CH-SYS-2.CHWV.OpenStatus,CHWV,2,10102:39,unknown,unmapped,0.0,
CH-SYS-2.CHWV.CloseStatus,CHWV,2,10102:40,unknown,unmapped,0.1,
CH-SYS-2.CHWV.ModeStatus,CHWV,2,10102:41,unknown,unmapped,0.0,
CH-SYS-2.CHWV.FailStatus,CHWV,2,10102:42,unknown,unmapped,0.0,
FCU_05_01_2.FanSpeedStatus,FCU,05_01_2,10102:37,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_07_2.CTL_FanSpeed,FCU,05_01_2,10102:75,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_01_26.27_2.RunStatus,FCU,05_01_2,10102:130,FCU_raw_status,mapped,0.4,
FCU_05_01_3.FanSpeedStatus,FCU,05_01_3,10102:40,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_07_3.FanSpeedStatus,FCU,05_01_3,10102:77,unknown,unmapped,0.1,
FCU_01_28.TripStatus,FCU,05_01_3,10102:133,FCU_raw_trip,mapped,0.4,
FCU_05_01_4.FanSpeedStatus,FCU,05_01_4,10102:43,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_07_4.FanSpeedStatus,FCU,05_01_4,10102:80,unknown,unmapped,0.1,
FCU_01_30.31_1.TripStatus,FCU,05_01_4,10102:137,FCU_raw_trip,mapped,0.4,
FCU_01_30.31_1.RunStatus,FCU,05_01_4,10102:138,FCU_raw_status,mapped,0.4,
FCU_01_30.31_2.RunStatus,FCU,05_01_4,10102:140,unknown,unmapped,0.1,
FCU_01_30.31_3.TripStatus,FCU,05_01_4,10102:141,unknown,unmapped,0.1,
FCU.FCU_05_01_4.ValveOutput,FCU,05_01_4,10102:246,FCU_raw_valve_status,mapped,0.6000000000000001,
FCU.FCU_05_01_4.FanOutput,FCU,05_01_4,10102:247,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_05_01_5.ModeStatus,FCU,05_01_5,10102:45,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_05_01_5.CTL_FanSpeed,FCU,05_01_5,10102:46,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_01_32.RunStatus,FCU,05_01_5,10102:144,FCU_raw_status,mapped,0.4,
FCU_05_01_6.ModeStatus,FCU,05_01_6,10102:47,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_05_08_1.FanSpeedStatus,FCU,05_01_6,10102:83,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_01_33.34_1.TripStatus,FCU,05_01_6,10102:145,FCU_raw_trip,mapped,0.4,
FCU_01_33.34_2.CTL_RunStop,FCU,05_01_6,10102:147,FCU_raw_on_off_command,mapped,0.6000000000000001,
CH-SYS-2.CWV.ModeStatus,CH,05_01_6,10102:47,CH_raw_cooling_valve_status,mapped,0.6000000000000001,
CH-SYS-3.CH.CwFls,CH,05_01_6,10102:82,CH_raw_cooling_water_flow,mapped,0.6000000000000001,
CH-SYS-3.CH.CwFgpm,CH,05_01_6,10102:83,unknown,unmapped,0.0,
FCU_05_01_6.CTL_FanSpeed,FCU,05_01_7,10102:48,FCU_raw_fan_speed,mapped,0.6000000000000001,
CH-SYS-2.CWV.FailStatus,CH,05_01_7,10102:48,CH_raw_cooling_valve_status,mapped,0.6000000000000001,
CH-SYS-3.CH.ChwStrainerDp,CH,05_01_7,10102:84,unknown,unmapped,0.1,
CH-SYS-3.CH.CwStrainerDp,CH,05_01_7,10102:85,unknown,unmapped,0.1,
CH-SYS-1.CWP.VSD.Volt,CWP,05_01_8,10102:48,unknown,unmapped,0.1,
CH-SYS-2.CWP.ModeStatus,CWP,05_01_8,10102:49,PUMP_raw_status,mapped,0.4,
FCU_05_01_7.ModeStatus,FCU,05_01_9,10102:49,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_05_11_1.ModeStatus,FCU,05_01_9,10102:91,unknown,unmapped,0.0,
FCU_05_11_1.CTL_FanSpeed,FCU,05_01_9,10102:92,FCU_raw_fan_speed_command,mapped,0.6000000000000001,
FCU_01_35_1.RunStatus,FCU,05_01_9,10102:154,FCU_raw_status,mapped,0.4,
FCU_01_35_2.CTL_RunStop,FCU,05_01_9,10102:155,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_01_35_2.TripStatus,FCU,05_01_9,10102:156,FCU_raw_trip,mapped,0.4,
CH-SYS-1.CWP.VSD.Amp,CWP,05_01_9,10102:49,unknown,unmapped,0.1,
CH-SYS-2.CH.ChwSt,CH,05_04.05_1,10102:50,CH_raw_temp_chws,mapped,0.6000000000000001,
CH-SYS-2.CWP.RunStatus,CWP,05_04.05_2,10102:50,PUMP_raw_status,mapped,0.4,
FCU_05_01_7.CTL_FanSpeed,FCU,05_06_1,10102:50,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_01_2.RunStatus,FCU,05_06_1,10102:167,FCU_raw_status,mapped,0.4,
CH-SYS-2.CH.ChwRt,CH,05_06_1,10102:51,CH_raw_temp_chwr,mapped,0.6000000000000001,
FCU_05_01_8.ModeStatus,FCU,05_06_2,10102:51,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_05_CMO_3.FanSpeedStatus,FCU,05_06_2,10102:106,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_01_3.CVControlMode,FCU,05_06_2,10102:170,FCU_raw_local_mode,mapped,0.6000000000000001,
FCU_05_01_3.RunStatus,FCU,05_06_2,10102:171,FCU_raw_status,mapped,0.4,
FCU_05_01_4.CTL_RunStop,FCU,05_06_2,10102:172,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_05_01_4.TripStatus,FCU,05_06_2,10102:173,FCU_raw_trip,mapped,0.4,
CH-SYS-2.CWP.TripStatus,CWP,05_06_3,10102:51,PUMP_raw_trip,mapped,0.4,
CH-SYS-2.CH.ChwDt,CH,05_06_4,10102:52,CH_raw_temp_chws,mapped,0.6000000000000001,
CH-SYS-2.CWP.FailStatus,CWP,05_07_1,10102:52,PUMP_raw_trip,mapped,0.4,
FCU_05_01_8.CTL_FanSpeed,FCU,05_07_1,10102:52,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_05_01_7.CTL_RunStop,FCU,05_07_1,10102:185,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_05_01_7.TripStatus,FCU,05_07_1,10102:186,FCU_raw_trip,mapped,0.4,
FCU_05_01_7.RunStatus,FCU,05_07_1,10102:187,FCU_raw_status,mapped,0.4,
CH-SYS-2.CH.CwSt,CH,05_07_2,10102:53,unknown,unmapped,0.1,
CH-SYS-3.CH.RunCmd,CH,05_07_2,10102:53,unknown,unmapped,0.1,
FCU_05_01_9.ModeStatus,FCU,05_07_3,10102:53,FCU_raw_cooling_heating_mode,mapped,0.6000000000000001,
FCU_01_25.RunStatus,FCU,05_07_3,10102:126,FCU_raw_status,mapped,0.4,
FCU_01_26.27_1.TripStatus,FCU,05_07_3,10102:127,FCU_raw_trip,mapped,0.4,
FCU_01_26.27_1.RunStatus,FCU,05_07_3,10102:128,unknown,unmapped,0.0,
FCU_01_26.27_2.TripStatus,FCU,05_07_3,10102:129,unknown,unmapped,0.0,
FCU_05_01_8.RunStatus,FCU,05_07_3,10102:191,unknown,unmapped,0.0,
FCU_05_01_9.ControllerStatus,FCU,05_07_3,10102:192,unknown,unmapped,0.1,
FCU_05_01_9.CTL_RunStop,FCU,05_07_3,10102:193,FCU_raw_on_off_command,mapped,0.6000000000000001,
FCU_01_28.RoomTemp,FCU,05_07_3,10102:194,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
FCU_01_28.ValveOutput,FCU,05_07_3,10102:195,FCU_raw_valve_status,mapped,0.6000000000000001,
FCU_05_01_9.CTL_FanSpeed,FCU,05_07_4,10102:54,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_01_26.27_3.TripStatus,FCU,05_07_4,10102:131,FCU_raw_trip,mapped,0.4,
FCU_01_26.27_3.RunStatus,FCU,05_07_4,10102:132,FCU_raw_status,mapped,0.4,
FCU_01_28.RunStatus,FCU,05_07_4,10102:134,unknown,unmapped,0.0,
FCU_01_28.TempSetpoint,FCU,05_07_4,10102:196,FCU_raw_sp_zone_air_temp,mapped,0.6000000000000001,
FCU_01_29.RoomTemp,FCU,05_07_4,10102:197,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
FCU_05_04.05_1.TripStatus,FCU,05_07_4,10102:198,unknown,unmapped,0.0,
FCU_05_04.05_1.CVControlMode,FCU,05_07_4,10102:199,unknown,unmapped,0.1,
FCU_01_30.31_1.RoomTemp,FCU,05_07_4,10102:200,unknown,unmapped,0.0,
CH-SYS-2.CH.CwRt,CH,05_08_1,10102:54,CH_raw_temp_chwr,mapped,0.6000000000000001,
CH-SYS-3.CH.ModeStatus,CH,05_08_2,10102:54,CH_raw_status,mapped,0.4,
CH-SYS-2.CH.CwDt,CH,05_08_3,10102:55,CH_raw_temp_cws,mapped,0.6000000000000001,
CH-SYS-3.CH.RunStatus,CH,05_11_1,10102:55,CH_raw_status,mapped,0.4,
CH-SYS-3.CH.TripStatus,CH,05_11_1,10102:56,CH_raw_trip,mapped,0.4,
FCU_05_04.05_1.FanSpeedStatus,FCU,05_11_2,10102:56,FCU_raw_fan_speed,mapped,0.6000000000000001,
FCU_01_35_2.CVControlMode,FCU,05_11_2,10102:157,unknown,unmapped,0.1,
FCU_01_33.34_1.RoomTemp,FCU,05_11_2,10102:212,FCU_raw_zone_air_temp,mapped,0.6000000000000001,
FCU_05_06_2.CVControlMode,FCU,05_11_2,10102:213,FCU_raw_valve_status,mapped,0.6000000000000001,
FCU_01_33.34_1.ValveOutput,FCU,05_11_2,10102:213,unknown,unmapped,0.0,
CH-SYS-2.CH.ChwFls,CH,05_11_2,10102:56,CH_raw_chilled_water_flow,mapped,0.6000000000000001,
CH-SYS-3.CH.FailStatus,CH,05_13_1,10102:57,CH_raw_chilled_water_flow,mapped,0.6000000000000001,
CH-SYS-2.CH.ChwFgpm,CH,05_13_1,10102:57,unknown,unmapped,0.0,
CH-SYS-2.CH.CwFls,CH,05_13_2,10102:58,CH_raw_cooling_water_flow,mapped,0.6000000000000001,
CH-SYS-3.CHWV.OvrMode,CHWV,05_13_2,10102:58,unknown,unmapped,0.1,
